load,throughput,latency,cpu0,cpu1,cpu2,cpu3,ram,disk,net_sent,net_recv
2,13.3699,149.537,12.1,6.38,1.4,1.2,51.8,16.4,22420.0,22506.0
4,23.6351,169.221,43.239999999999995,4.9,1.4,1.2,51.96,16.4,41691.0,41843.0
6,36.0654,166.321,76.82000000000001,3.02,1.2,1.0,50.239999999999995,16.4,285426.4,177340.2
8,44.2461,180.794,7.0,6.36,2.6,2.4,49.739999999999995,16.4,83305.4,83274.6
10,56.0749,178.249,33.08,5.1,2.8,2.0,51.52,16.4,210804.2,157084.2
12,64.9338,184.789,6.9799999999999995,6.16,2.38,2.2,49.7,16.4,111041.8,111038.2
16,94.5781,169.107,6.76,5.34,1.98,2.0,51.279999999999994,16.4,107489.4,107791.4
32,169.09,189.087,8.28,7.32,4.18,3.4,51.279999999999994,16.4,269430.2,269702.4
64,194.663,328.31,4.9,7.739999999999999,4.38,4.0,50.4,16.4,308151.6,308030.4
128,205.337,618.951,10.66,5.9,2.98,3.16,52.7,16.4,201565.0,201567.0
256,199.02,1193.52,28.1,6.720000000000001,3.22,3.0,55.5,16.4,316972.8,261948.0

